naselje;grad_opcina;zupanija;stanovnistvo
Veliki Grđevac;Veliki Grđevac;Bjelovarsko-bilogorska županija;1054
Veliki Jadrč;Vrbovsko;Primorsko-goranska županija;49
Veliki Komor;Mače;Krapinsko-zagorska županija;326
Veliki Kozinac;Barilović;Karlovačka županija;14
Veliki Lipovec;Samobor;Zagrebačka županija;72
Veliki Lovrečan;Cestica;Varaždinska županija;312
Veliki Miletinac;Đulovac;Bjelovarsko-bilogorska županija;50
Veliki Modruš Potok;Netretić;Karlovačka županija;18
Veliki Obljaj;Glina;Sisačko-moslavačka županija;9
Veliki Otok;Legrad;Koprivničko-križevačka županija;242
Veliki Pašijan;Garešnica;Bjelovarsko-bilogorska županija;300
Veliki Poganac;Rasinja;Koprivničko-križevačka županija;165
Veliki Potočec;Križevci;Koprivničko-križevačka županija;360
Veliki Prokop;Garešnica;Bjelovarsko-bilogorska županija;25
Veliki Prolog;Vrgorac;Splitsko-dalmatinska županija;317
Veliki Rastovac;Crnac;Virovitičko-podravska županija;193
Veliki Raven;Križevci;Koprivničko-križevačka županija;234
Veliki Vareški;Marčana;Istarska županija;16
Veliki Vrh;Žumberak;Zagrebačka županija;6
Veliki Vrh Kamanjski;Kamanje;Karlovačka županija;49
Veliki Zdenci;Grubišno Polje;Bjelovarsko-bilogorska županija;727
Veliki Šušnjar;Petrinja;Sisačko-moslavačka županija;65
Veliki Žitnik;Gospić;Ličko-senjska županija;34
Veliko Brdo;Makarska;Splitsko-dalmatinska županija;492
Veliko Korenovo;Bjelovar;Bjelovarsko-bilogorska županija;461
Veliko Krčevo;Majur;Sisačko-moslavačka županija;48
Veliko Polje;;Grad Zagreb;2122
Veliko Polje;Lukač;Virovitičko-podravska županija;202
Veliko Selce;Skrad;Primorsko-goranska županija;70
Veliko Svinjičko;Sisak;Sisačko-moslavačka županija;226
Veliko Trgovišće;Veliko Trgovišće;Krapinsko-zagorska županija;1193
Veliko Trojstvo;Veliko Trojstvo;Bjelovarsko-bilogorska županija;1075
Veliko Vukovje;Garešnica;Bjelovarsko-bilogorska županija;187
Velim;Stankovci;Zadarska županija;125
Velimirovac;Našice;Osječko-baranjska županija;946
Velinci;Kumrovec;Krapinsko-zagorska županija;90
Velić;Trilj;Splitsko-dalmatinska županija;266
Velići;Vižinada – Visinada;Istarska županija;45
Veliškovci;Belišće;Osječko-baranjska županija;561
Veljaki;Kršan;Istarska županija;116
Veljun;Slunj;Karlovačka županija;90
Veljun Primorski;Senj;Ličko-senjska županija;57
Veljunska Glina;Slunj;Karlovačka županija;5
Veljunski Ponorac;Slunj;Karlovačka županija;11
Velo Grablje;Hvar;Splitsko-dalmatinska županija;20
Velušić;Drniš;Šibensko-kninska županija;78
Venac Mrežnički;Duga Resa;Karlovačka županija;131
Venje;Kutjevo;Požeško-slavonska županija;86
Veprinac;Opatija;Primorsko-goranska županija;1008
Vera;Trpinja;Vukovarsko-srijemska županija;346
Verunić;Sali;Zadarska županija;54
Vesela;Pleternica;Požeško-slavonska županija;110
Veselići;Ribnik;Karlovačka županija;35
Veternica;Novi Golubovec;Krapinsko-zagorska županija;125
Vetovo;Kutjevo;Požeško-slavonska županija;757
Vezac;Primošten;Šibensko-kninska županija;73
Vezišće;Križ;Zagrebačka županija;220
Većeslavec;Križevci;Koprivničko-križevačka županija;95
Vežnaveri;Poreč – Parenzo;Istarska županija;82
Vid;Metković;Dubrovačko-neretvanska županija;690
Vidalići;Novalja;Ličko-senjska županija;23
Videkić Selo;Slunj;Karlovačka županija;14
Vidonje;Zažablje;Dubrovačko-neretvanska županija;2
Vidovac Cesarički;Karlobag;Ličko-senjska županija;58
Vidovci;Požega;Požeško-slavonska županija;1264
Vidovec;Vidovec;Varaždinska županija;769
Vidovec Krapinski;Krapina;Krapinsko-zagorska županija;183
Vidovec Petrovski;Krapina;Krapinsko-zagorska županija;66
Vidovići;Cres;Primorsko-goranska županija;4
Vidrenjak;Velika Ludina;Sisačko-moslavačka županija;481
Vidulini;Žminj;Istarska županija;49
Viganj;Orebić;Dubrovačko-neretvanska županija;236
Vijenac Barilovićki;Barilović;Karlovačka županija;47
Vilanci;Veliko Trgovišće;Krapinsko-zagorska županija;116
Vilanija – Villania;Umag – Umago;Istarska županija;284
Viletinec;Lepoglava;Varaždinska županija;150
Vilić Selo;Brestovac;Požeško-slavonska županija;120
Viljevo;Viljevo;Osječko-baranjska županija;987
Vina;Vrgorac;Splitsko-dalmatinska županija;115
Vinagora;Pregrada;Krapinsko-zagorska županija;32
Vinalić;Vrlika;Splitsko-dalmatinska županija;137
Vinarec;Sveti Petar Orehovec;Koprivničko-križevačka županija;158
Vinež;Labin;Istarska županija;1172
Vini Vrh;Ozalj;Karlovačka županija;2
Vinica;Vinica;Varaždinska županija;965
Vinica Breg;Vinica;Varaždinska županija;250
Vinine;Trilj;Splitsko-dalmatinska županija;16
Vinipotok;Lobor;Krapinsko-zagorska županija;311
Vinično;Visoko;Varaždinska županija;255
Vinišće;Marina;Splitsko-dalmatinska županija;660
Vinjerac;Posedarje;Zadarska županija;173
Vinkovački Banovci;Nijemci;Vukovarsko-srijemska županija;117
Vinkovci;Vinkovci;Vukovarsko-srijemska županija;28111
Vinkovec;Preseka;Zagrebačka županija;121
Vinkuran;Medulin;Istarska županija;652
Vinogradci;Belišće;Osječko-baranjska županija;211
Vinogradi Ludbreški;Ludbreg;Varaždinska županija;679
Vinovac;Marina;Splitsko-dalmatinska županija;68
Vinski Vrh;Netretić;Karlovačka županija;99
Vinterovec;Gornja Stubica;Krapinsko-zagorska županija;44
Vintijan;Medulin;Istarska županija;186
Vir;Vir;Zadarska županija;3045
Virje;Virje;Koprivničko-križevačka županija;2811
Virje Križovljansko;Cestica;Varaždinska županija;263
Virovitica;Virovitica;Virovitičko-podravska županija;13486
Vis;Vis;Splitsko-dalmatinska županija;1582
Visoka;Unešić;Šibensko-kninska županija;25
Visoka Greda;Vrbje;Brodsko-posavska županija;167
Visoko;Visoko;Varaždinska županija;454
Visovi;Kapela;Bjelovarsko-bilogorska županija;46
Visoće;Žumberak;Zagrebačka županija;15
Visočane;Poličnik;Zadarska županija;350
Visočani;Dubrovačko primorje;Dubrovačko-neretvanska županija;102
Visuć;Udbina;Ličko-senjska županija;25
Vitaljina;Konavle;Dubrovačko-neretvanska županija;153
Vitešinec;Ivanec;Varaždinska županija;86
Vitunj;Ogulin;Karlovačka županija;77
Vivodina;Ozalj;Karlovačka županija;75
Viča Sela;Krapinske Toplice;Krapinsko-zagorska županija;193
Viškovci;Pleternica;Požeško-slavonska županija;160
Viškovci;Viškovci;Osječko-baranjska županija;920
Viškovići;Raša;Istarska županija;129
Viškovo;Viškovo;Primorsko-goranska županija;3602
Višnjan;Višnjan – Visignano;Istarska županija;664
Višnjevac;Osijek;Osječko-baranjska županija;5870
Višnjevac;Veliko Trojstvo;Bjelovarsko-bilogorska županija;89
Višnjevec;Pregrada;Krapinsko-zagorska županija;142
Višnjevec Podvrški;Samobor;Zagrebačka županija;30
Višnjica;Jasenovac;Sisačko-moslavačka županija;119
Višnjica;Sopje;Virovitičko-podravska županija;3
Višnjica;Vrgorac;Splitsko-dalmatinska županija;12
Višći Vrh;Žumberak;Zagrebačka županija;4
Vižanovec;Zlatar;Krapinsko-zagorska županija;111
Vižinada;Vižinada – Visinada;Istarska županija;269
Vižintini Vrhi – Visintini Monti;Oprtalj – Portole;Istarska županija;13
Vižintini – Visintini;Oprtalj – Portole;Istarska županija;24
Vižovlje;Veliko Trgovišće;Krapinsko-zagorska županija;233
Vladimirovac;Gradina;Virovitičko-podravska županija;34
Vladislavci;Vladislavci;Osječko-baranjska županija;919
Vladisovo;Staro Petrovo Selo;Brodsko-posavska županija;7
Vlahović;Glina;Sisačko-moslavačka županija;43
Vlaislav;Novigrad Podravski;Koprivničko-križevačka županija;168
Vlaka;Slivno;Dubrovačko-neretvanska županija;268
Vlaka;Vrgorac;Splitsko-dalmatinska županija;25
Vlatkovac;Čaglin;Požeško-slavonska županija;64
Vlašić Brdo;Žumberak;Zagrebačka županija;0
Vlašići;Pag;Zadarska županija;212
Vlaškovec;Jastrebarsko;Zagrebačka županija;94
Vode;Čabar;Primorsko-goranska županija;32
Vodena Draga;Bosiljevo;Karlovačka županija;27
Vodice;Cres;Primorsko-goranska županija;5
Vodice;Lanišće;Istarska županija;9
Vodice;Vodice;Šibensko-kninska županija;6592
Vodnjan;Vodnjan – Dignano;Istarska županija;3133
Vodostaj;Karlovac;Karlovačka županija;298
Vodoteč;Brinje;Ličko-senjska županija;33
Vodovađa;Konavle;Dubrovačko-neretvanska županija;190
Vojakovac;Križevci;Koprivničko-križevačka županija;207
Vojišnica;Vojnić;Karlovačka županija;314
Vojlovica;Čačinci;Virovitičko-podravska županija;16
Vojnić;Vojnić;Karlovačka županija;1099
Vojnić Sinjski;Trilj;Splitsko-dalmatinska županija;433
Vojnić-Breg;Bedekovčina;Krapinsko-zagorska županija;120
Vojnovac;Josipdol;Karlovačka županija;74
Vojnovec Kalnički;Kalnik;Koprivničko-križevačka županija;112
Vojnovec Loborski;Lobor;Krapinsko-zagorska županija;324
Vojnović Brdo;Krnjak;Karlovačka županija;5
Vojsak;Pregrada;Krapinsko-zagorska županija;107
Vojvodinec;Rasinja;Koprivničko-križevačka županija;55
Volarice;Senj;Ličko-senjska županija;66
Volavec;Gornja Stubica;Krapinsko-zagorska županija;18
Volavje;Jastrebarsko;Zagrebačka županija;374
Volinja;Dvor;Sisačko-moslavačka županija;43
Voljavec Riječki;Sveti Petar Orehovec;Koprivničko-križevačka županija;25
Voloder;Popovača;Sisačko-moslavačka županija;1574
Vorkapić;Topusko;Sisačko-moslavačka županija;10
Vozilići;Kršan;Istarska županija;224
Voćarica;Novska;Sisačko-moslavačka županija;146
Voćin;Voćin;Virovitičko-podravska županija;956
Vođinci;Vođinci;Vukovarsko-srijemska županija;1634
Voštane;Trilj;Splitsko-dalmatinska županija;26
Vošteni;Sveti Lovreč;Istarska županija;49
Vrabač;Trilj;Splitsko-dalmatinska županija;219
Vrana;Cres;Primorsko-goranska županija;7
Vrana;Pakoštane;Zadarska županija;778
Vraneševci;Čađavica;Virovitičko-podravska županija;113
Vranik;Lovinac;Ličko-senjska županija;8
Vranić;Brestovac;Požeško-slavonska županija;0
Vranići kod Višnjana;Višnjan – Visignano;Istarska županija;41
Vranići kod Vižinade;Vižinada – Visinada;Istarska županija;0
Vranja;Lupoglav;Istarska županija;92
Vranjak Žumberački;Krašić;Zagrebačka županija;0
Vranje Selo;Vižinada – Visinada;Istarska županija;48
Vranjic;Solin;Splitsko-dalmatinska županija;1064
Vrankovec;Sveti Križ Začretje;Krapinsko-zagorska županija;224
Vranojelje;Bednja;Varaždinska županija;114
Vranov Dol;Jastrebarsko;Zagrebačka županija;117
Vranovača;Plitvička Jezera;Ličko-senjska županija;132
Vranovci;Bukovlje;Brodsko-posavska županija;575
Vranovine;Gospić;Ličko-senjska županija;27
Vrata;Fužine;Primorsko-goranska županija;210
Vrataruša;Senj;Ličko-senjska županija;5
Vratečko;Petrinja;Sisačko-moslavačka županija;38
Vratišinec;Vratišinec;Međimurska županija;1155
Vratnik;Senj;Ličko-senjska županija;56
Vratnik Samoborski;Samobor;Zagrebačka županija;93
Vratno Otok;Cestica;Varaždinska županija;72
Vrbani;Vižinada – Visinada;Istarska županija;8
Vrbanj;Stari Grad;Splitsko-dalmatinska županija;458
Vrbanja;Vrbanja;Vukovarsko-srijemska županija;1583
Vrbanovec;Martijanec;Varaždinska županija;561
Vrbanska Draga;Ozalj;Karlovačka županija;18
Vrbica;Semeljci;Osječko-baranjska županija;614
Vrbica;Veliko Trojstvo;Bjelovarsko-bilogorska županija;93
Vrbišnica;Hum na Sutli;Krapinsko-zagorska županija;245
Vrbje;Vrbje;Brodsko-posavska županija;358
Vrbnik;Biskupija;Šibensko-kninska županija;297
Vrbnik;Vrbnik;Primorsko-goranska županija;887
Vrbno;Bednja;Varaždinska županija;228
Vrboska;Jelsa;Splitsko-dalmatinska županija;542
Vrbova;Staro Petrovo Selo;Brodsko-posavska županija;686
Vrbovac;Daruvar;Bjelovarsko-bilogorska županija;508
Vrbovec;Vrbovec;Zagrebačka županija;4551
Vrbovec Samoborski;Samobor;Zagrebačka županija;263
Vrbovečki Pavlovec;Vrbovec;Zagrebačka županija;402
Vrbovljani;Okučani;Brodsko-posavska županija;135
Vrbovo;Hrašćina;Krapinsko-zagorska županija;258
Vrbovo Posavsko;Orle;Zagrebačka županija;150
Vrbovsko;Vrbovsko;Primorsko-goranska županija;1257
Vrebac;Gospić;Ličko-senjska županija;46
Vrelo Koreničko;Plitvička Jezera;Ličko-senjska županija;102
Vrećari;Sveta Nedelja;Istarska županija;199
Vrgada;Pakoštane;Zadarska županija;209
Vrginmost;Gvozd;Sisačko-moslavačka županija;860
Vrgorac;Vrgorac;Splitsko-dalmatinska županija;2132
Vrh;Buzet;Istarska županija;109
Vrh;Krk;Primorsko-goranska županija;939
Vrh Brodski;Skrad;Primorsko-goranska županija;0
Vrh Lašići;Vižinada – Visinada;Istarska županija;44
Vrh Letovanićki;Lekenik;Sisačko-moslavačka županija;58
Vrh Visočki;Visoko;Varaždinska županija;87
Vrhi Pregradski;Pregrada;Krapinsko-zagorska županija;336
Vrhi Vinagorski;Pregrada;Krapinsko-zagorska županija;94
Vrhjani;Višnjan – Visignano;Istarska županija;13
Vrhova Gorica;Bosiljevo;Karlovačka županija;8
Vrhovac;Ozalj;Karlovačka županija;307
Vrhovac Sokolovački;Sokolovac;Koprivničko-križevačka županija;64
Vrhovački Sopot;Ozalj;Karlovačka županija;90
Vrhovci;Čabar;Primorsko-goranska županija;120
Vrhovec;Vrbovec;Zagrebačka županija;138
Vrhovec Bednjanski;Bednja;Varaždinska županija;33
Vrhovina;Garčin;Brodsko-posavska županija;172
Vrhovine;Vrhovine;Ličko-senjska županija;218
Vrhovljan;Sveti Martin na Muri;Međimurska županija;260
Vrhovčak;Samobor;Zagrebačka županija;356
Vrisnik;Jelsa;Splitsko-dalmatinska županija;186
Vrlika;Vrlika;Splitsko-dalmatinska županija;718
Vrnjak – Vergnacco;Grožnjan – Grisignana;Istarska županija;0
Vrpile;Plitvička Jezera;Ličko-senjska županija;8
Vrpolje;Knin;Šibensko-kninska županija;159
Vrpolje;Trilj;Splitsko-dalmatinska županija;68
Vrpolje;Vrpolje;Brodsko-posavska županija;1396
Vrpolje;Šibenik;Šibensko-kninska županija;731
Vrsar;Vrsar – Orsera;Istarska županija;1535
Vrsi;Vrsi;Zadarska županija;1613
Vrsine;Marina;Splitsko-dalmatinska županija;291
Vrsno;Šibenik;Šibensko-kninska županija;58
Vrtlinovec;Varaždinske Toplice;Varaždinska županija;353
Vrtlinska;Čazma;Bjelovarsko-bilogorska županija;128
Vrtnjakovec;Krapinske Toplice;Krapinsko-zagorska županija;228
Vrzići;Senj;Ličko-senjska županija;6
Vrčin Dol;Pleternica;Požeško-slavonska županija;1
Vrčići;Pag;Zadarska županija;27
Vrškovac;Ozalj;Karlovačka županija;117
Vuglovec;Ivanec;Varaždinska županija;304
Vugrišinec;Gornji Mihaljevec;Međimurska županija;196
Vugrovec;;Grad Zagreb;920
Vugrovec Gornji;;Grad Zagreb;305
Vujići Vojakovački;Križevci;Koprivničko-križevačka županija;54
Vujnovići;Vrbovsko;Primorsko-goranska županija;32
Vuka;Vuka;Osječko-baranjska županija;764
Vukanci;Mače;Krapinsko-zagorska županija;216
Vukanovec;Gornji Mihaljevec;Međimurska županija;227
Vukelići;Vrbovsko;Primorsko-goranska županija;17
Vuketić;Ozalj;Karlovačka županija;16
Vukmanić;Karlovac;Karlovačka županija;194
Vukoder;Karlovac;Karlovačka županija;88
Vukojevci;Našice;Osječko-baranjska županija;713
Vukojevica;Čaglin;Požeško-slavonska županija;61
Vukomerić;Velika Gorica;Zagrebačka županija;125
Vukosavljevica;Špišić Bukovica;Virovitičko-podravska županija;507
Vukova Gorica;Netretić;Karlovačka županija;52
Vukovar;Vukovar;Vukovarsko-srijemska županija;22255
Vukovec;Sveti Petar Orehovec;Koprivničko-križevačka županija;75
Vukovije;Đulovac;Bjelovarsko-bilogorska županija;91
Vukovina;Velika Gorica;Zagrebačka županija;884
Vukovje Zelinsko;Sveti Ivan Zelina;Zagrebačka županija;84
Vukovo Brdo;Žumberak;Zagrebačka županija;9
Vukovo Selo;Brdovec;Zagrebačka županija;408
Vukovoj;Klenovnik;Varaždinska županija;81
Vukoševac;Sunja;Sisačko-moslavačka županija;10
Vuksani;Ozalj;Karlovačka županija;10
Vukšin Šipak;Jastrebarsko;Zagrebačka županija;255
Vukšinec Riječki;Gornja Rijeka;Koprivničko-križevačka županija;72
Vukšić;Benkovac;Zadarska županija;488
Vularija;Orehovica;Međimurska županija;363
Vulišinec;Lepoglava;Varaždinska županija;202
Vurnovec;;Grad Zagreb;192
Vurot;Sisak;Sisačko-moslavačka županija;112
Vučak;Donja Stubica;Krapinsko-zagorska županija;437
Vučani;Čazma;Bjelovarsko-bilogorska županija;79
Vučetinec;Sveti Juraj na Bregu;Međimurska županija;569
Vučevci;Viškovci;Osječko-baranjska županija;221
Vučevica;Klis;Splitsko-dalmatinska županija;44
Vučilčevo;Dubravica;Zagrebačka županija;130
Vučinići;Vrbovsko;Primorsko-goranska županija;58
Vučipolje;Gračac;Zadarska županija;1
Vučipolje;Hrvace;Splitsko-dalmatinska županija;69
Vučjak Feričanački;Feričanci;Osječko-baranjska županija;226
Vučnik;Vrbovsko;Primorsko-goranska županija;12
Zablatje;Legrad;Koprivničko-križevačka županija;171
Zablatje Posavsko;Velika Gorica;Zagrebačka županija;69
Zabok;Zabok;Krapinsko-zagorska županija;3408
Zaborsko Selo;Netretić;Karlovačka županija;12
Zabrežani;Pazin;Istarska županija;454
Zabrđe;Gradec;Zagrebačka županija;113
Zabrđe;Ston;Dubrovačko-neretvanska županija;42
Zabukovac;Novi Vinodolski;Primorsko-goranska županija;0
Zadar;Zadar;Zadarska županija;67309
Zadobarje;Karlovac;Karlovačka županija;315
Zadravec;Bedekovčina;Krapinsko-zagorska županija;98
Zadrkovec;Sveti Ivan Zelina;Zagrebačka županija;152
Zadubravlje;Garčin;Brodsko-posavska županija;750
Zadvarje;Zadvarje;Splitsko-dalmatinska županija;289
Zadvorsko;;Grad Zagreb;1260
Zaglav;Sali;Zadarska županija;171
Zagolik;Delnice;Primorsko-goranska županija;1
Zagora;Krapina;Krapinsko-zagorska županija;88
Zagore;Mošćenička Draga;Primorsko-goranska županija;76
Zagorje;Krnjak;Karlovačka županija;39
Zagorje;Kršan;Istarska županija;104
Zagorje;Ogulin;Karlovačka županija;102
Zagorska Sela;Zagorska Sela;Krapinsko-zagorska županija;263
Zagrad;Benkovac;Zadarska županija;49
Zagradci;Netretić;Karlovačka županija;225
Zagraj;Karlovac;Karlovačka županija;59
Zagrađe;Pleternica;Požeško-slavonska županija;366
Zagreb;;Grad Zagreb;663592
Zagvozd;Zagvozd;Splitsko-dalmatinska županija;640
Zahrt;Brod Moravice;Primorsko-goranska županija;3
Zaistovec;Sveti Petar Orehovec;Koprivničko-križevačka županija;229
Zajačko Selo;Ozalj;Karlovačka županija;161
Zajci;Pićan;Istarska županija;219
Zajezda;Budinščina;Krapinsko-zagorska županija;293
Zaklepica;Ivanić-Grad;Zagrebačka županija;74
Zaklopac;Gračac;Zadarska županija;12
Zaklopatica;Lastovo;Dubrovačko-neretvanska županija;104
Zaklopača;Plitvička Jezera;Ličko-senjska županija;2
Zakopa;Dvor;Sisačko-moslavačka županija;24
Zakorenje;Brestovac;Požeško-slavonska županija;145
Zakrajc Brodski;Skrad;Primorsko-goranska županija;1
Zakrajc Turkovski;Delnice;Primorsko-goranska županija;0
Zakučac;Omiš;Splitsko-dalmatinska županija;156
Zalesina;Delnice;Primorsko-goranska županija;31
Zaloj;Glina;Sisačko-moslavačka županija;18
Zalug;Hum na Sutli;Krapinsko-zagorska županija;102
Zaluka;Ozalj;Karlovačka županija;18
Zaluka Lipnička;Žakanje;Karlovačka županija;131
Zaluki;Matulji;Primorsko-goranska županija;68
Zalužje;Lepoglava;Varaždinska županija;126
Zalužnica;Vrhovine;Ličko-senjska županija;101
Zamask;Pazin;Istarska županija;50
Zamaski Dol;Pazin;Istarska županija;42
Zamaslina;Ston;Dubrovačko-neretvanska županija;70
Zambratija – Zambrattia;Umag – Umago;Istarska županija;438
Zamladinec;Sveti Petar Orehovec;Koprivničko-križevačka županija;86
Zamlaka;Trnovec Bartolovečki;Varaždinska županija;395
Zamlača;Dvor;Sisačko-moslavačka županija;75
Zamlača;Vidovec;Varaždinska županija;337
Zamost;Čabar;Primorsko-goranska županija;18
Zamost Brodski;Delnice;Primorsko-goranska županija;35
Zamršje;Karlovac;Karlovačka županija;144
Zankovci;Kršan;Istarska županija;9
Zaostrog;Gradac;Splitsko-dalmatinska županija;220
Zapeć;Vrbovsko;Primorsko-goranska županija;10
Zapoljak;Slunj;Karlovačka županija;1
Zapolje;Rešetari;Brodsko-posavska županija;331
Zapolje Brodsko;Delnice;Primorsko-goranska županija;12
Zaprešić;Zaprešić;Zagrebačka županija;18768
Zapuntel;Zadar;Zadarska županija;42
Zapužane;Benkovac;Zadarska županija;45
Zaraće;Hvar;Splitsko-dalmatinska županija;8
Zarečje;Pazin;Istarska županija;294
Zarilac;Pleternica;Požeško-slavonska županija;116
Zasadbreg;Sveti Juraj na Bregu;Međimurska županija;871
Zasiok;Hrvace;Splitsko-dalmatinska županija;24
Zastenice;Čavle;Primorsko-goranska županija;338
Zastolje;Konavle;Dubrovačko-neretvanska županija;136
Zastražišće;Jelsa;Splitsko-dalmatinska županija;126
Zatka Čepić;Kršan;Istarska županija;29
Zatoglav;Rogoznica;Šibensko-kninska županija;55
Zaton;Dubrovnik;Dubrovačko-neretvanska županija;1024
Zaton;Nin;Zadarska županija;595
Zaton;Šibenik;Šibensko-kninska županija;929
Zaton Doli;Ston;Dubrovačko-neretvanska županija;56
Zaton Obrovački;Jasenice;Zadarska županija;95
Zaumol;Vrbovsko;Primorsko-goranska županija;27
Zavala;Jelsa;Splitsko-dalmatinska županija;170
Zavala;Slivno;Dubrovačko-neretvanska županija;0
Zaveščak;Selnica;Međimurska županija;212
Zavojane;Vrgorac;Splitsko-dalmatinska županija;189
Zavođe;Gospić;Ličko-senjska županija;1
Zavrelje;Župa dubrovačka;Dubrovačko-neretvanska županija;178
Zavrh;Brod Moravice;Primorsko-goranska županija;1
Završje;Brestovac;Požeško-slavonska županija;292
Završje;Brod Moravice;Primorsko-goranska županija;0
Završje;Sibinj;Brodsko-posavska županija;271
Završje Belečko;Zlatar;Krapinsko-zagorska županija;56
Završje Loborsko;Lobor;Krapinsko-zagorska županija;266
Završje Netretićko;Netretić;Karlovačka županija;53
Završje Podbelsko;Novi Marof;Varaždinska županija;779
Završje Začretsko;Sveti Križ Začretje;Krapinsko-zagorska županija;33
Završje – Piemonte d'Istria;Grožnjan – Grisignana;Istarska županija;39
Zbelava;Varaždin;Varaždinska županija;435
Zbičina;Cres;Primorsko-goranska županija;3
Zbišina;Cres;Primorsko-goranska županija;2
Zbjeg;Bebrina;Brodsko-posavska županija;362
Zbjegovača;Kutina;Sisačko-moslavačka županija;311
Zdenac;Tounj;Karlovačka županija;178
Zdenci;Zdenci;Virovitičko-podravska županija;737
Zdenci Brdovečki;Brdovec;Zagrebačka županija;1169
Zdenčac;Garešnica;Bjelovarsko-bilogorska županija;365
Zdenčec;Čazma;Bjelovarsko-bilogorska županija;76
Zdihovo;Jastrebarsko;Zagrebačka županija;288
Zdihovo;Vrbovsko;Primorsko-goranska županija;29
Zebanec Selo;Selnica;Međimurska županija;312
Zeci;Žminj;Istarska županija;31
Zelendvor;Petrijanec;Varaždinska županija;124
Zelengrad;Obrovac;Zadarska županija;73
Zeleno Polje;Petlovac;Osječko-baranjska županija;13
Zelin Crnoluški;Delnice;Primorsko-goranska županija;0
Zelin Mrzlovodički;Lokve;Primorsko-goranska županija;14
Zelina Breška;Ivanić-Grad;Zagrebačka županija;76
Zelovo;Muć;Splitsko-dalmatinska županija;35
Zelovo;Sinj;Splitsko-dalmatinska županija;122
Zelčin;Valpovo;Osječko-baranjska županija;297
Zemunik Donji;Zemunik Donji;Zadarska županija;1557
Zemunik Gornji;Zemunik Donji;Zadarska županija;437
Zetkan;Dubrava;Zagrebačka županija;179
Zečev Varoš;Slunj;Karlovačka županija;17
Zečevo;Kistanje;Šibensko-kninska županija;24
Zečevo Rogozničko;Rogoznica;Šibensko-kninska županija;234
Zgališće;Dubrava;Zagrebačka županija;216
Zgrabljići;Sveti Lovreč;Istarska županija;32
Zgurić Brdo;Pokupsko;Zagrebačka županija;33
Zidarići;Malinska-Dubašnica;Primorsko-goranska županija;142
Zimić;Krnjak;Karlovačka županija;40
Zinajevac;Barilović;Karlovačka županija;1
Zlarin;Šibenik;Šibensko-kninska županija;293
Zlatar;Zlatar;Krapinsko-zagorska županija;2825
Zlatar-Bistrica;Zlatar Bistrica;Krapinsko-zagorska županija;1393
Zlatna Greda;Bilje;Osječko-baranjska županija;5
Zleć;Sveti Križ Začretje;Krapinsko-zagorska županija;140
Zlobin;Bakar;Primorsko-goranska županija;272
Zlogonje;Lepoglava;Varaždinska županija;367
Zmajevac;Kneževi Vinogradi;Osječko-baranjska županija;544
Zmijavci;Zmijavci;Splitsko-dalmatinska županija;1654
Znož;Zlatar;Krapinsko-zagorska županija;18
Zokov Gaj;Zdenci;Virovitičko-podravska županija;83
Zoljan;Našice;Osječko-baranjska županija;637
Zoljani;Oprisavci;Brodsko-posavska županija;20
Zonti;Buzet;Istarska županija;40
Zoretići;Jelenje;Primorsko-goranska županija;93
Zoričići;Višnjan – Visignano;Istarska županija;26
Zorkovac;Ozalj;Karlovačka županija;193
Zorkovac Vivodinski;Ozalj;Karlovačka županija;14
Zorkovac na Kupi;Ozalj;Karlovačka županija;81
Zrenj – Stridone;Oprtalj – Portole;Istarska županija;55
Zrin;Dvor;Sisačko-moslavačka županija;8
Zrinj Lukački;Lukač;Virovitičko-podravska županija;85
Zrinska;Veliki Grđevac;Bjelovarsko-bilogorska županija;99
Zrinska Draga;Dvor;Sisačko-moslavačka županija;21
Zrinski Brđani;Dvor;Sisačko-moslavačka županija;25
Zrinski Topolovac;Zrinski Topolovac;Bjelovarsko-bilogorska županija;524
Zrinšćina;Sveti Ivan Zelina;Zagrebačka županija;122
Zrmanja;Gračac;Zadarska županija;9
Zrmanja Vrelo;Gračac;Zadarska županija;11
Zubovići;Novalja;Ličko-senjska županija;180
Zut;Dvor;Sisačko-moslavačka županija;0
Zvekovac;Dubrava;Zagrebačka županija;151
Zvekovica;Konavle;Dubrovačko-neretvanska županija;710
Zverinac;Sali;Zadarska županija;55
Zvečaj;Duga Resa;Karlovačka županija;175
Zvečanje;Omiš;Splitsko-dalmatinska županija;207
Zvijerci;Bjelovar;Bjelovarsko-bilogorska županija;59
Zvjerinac;Biskupija;Šibensko-kninska županija;53
Zvoneća;Matulji;Primorsko-goranska županija;244
Zvonik;Farkaševac;Zagrebačka županija;66
Zvonimirovac;Čađavica;Virovitičko-podravska županija;192
Zvonimirovo;Suhopolje;Virovitičko-podravska županija;79
Ćelije;Trpinja;Vukovarsko-srijemska županija;98
Ćeralije;Voćin;Virovitičko-podravska županija;579
Ćojluk;Udbina;Ličko-senjska županija;3
Ćore;Dvor;Sisačko-moslavačka županija;6
Ćosinac;Pleternica;Požeško-slavonska županija;39
Ćosine Laze;Požega;Požeško-slavonska županija;17
Ćuić Brdo;Rakovica;Karlovačka županija;1
Ćunski;Mali Lošinj;Primorsko-goranska županija;198
Ćurlovac;Veliko Trojstvo;Bjelovarsko-bilogorska županija;232
