naselje;grad_opcina;zupanija;stanovnistvo
Bošana;Pag;Zadarska županija;29
Boševci;Ozalj;Karlovačka županija;62
Boškari;Svetvinčenat;Istarska županija;39
Bošnjaci;Bošnjaci;Vukovarsko-srijemska županija;2868
Bošt;Duga Resa;Karlovačka županija;47
Božava;Sali;Zadarska županija;118
Božjakovina;Brckovljani;Zagrebačka županija;144
Brajakovo Brdo;Netretić;Karlovačka županija;114
Brajdić Selo;Rakovica;Karlovačka županija;80
Brajkovići;Kanfanar;Istarska županija;92
Brajkovići;Pazin;Istarska županija;340
Bralići;Vrsar – Orsera;Istarska županija;23
Branešci;Pakrac;Požeško-slavonska županija;32
Branimirovac;Koška;Osječko-baranjska županija;85
Branjin Vrh;Beli Manastir;Osječko-baranjska županija;764
Branjina;Popovac;Osječko-baranjska županija;223
Braslovje;Samobor;Zagrebačka županija;302
Bratelji;Samobor;Zagrebačka županija;11
Bratina;Pisarovina;Zagrebačka županija;677
Bratiškovci;Skradin;Šibensko-kninska županija;233
Bratkovec;Zagorska Sela;Krapinsko-zagorska županija;40
Bratovanci;Ozalj;Karlovačka županija;44
Bratovići – Bratovici;Poreč – Parenzo;Istarska županija;15
Bratovski Vrh;Klanjec;Krapinsko-zagorska županija;30
Bratulići;Marčana;Istarska županija;40
Bratuljevci;Velika;Požeško-slavonska županija;13
Bračak;Zabok;Krapinsko-zagorska županija;18
Bračevci;Drenje;Osječko-baranjska županija;149
Bračević;Muć;Splitsko-dalmatinska županija;139
Brašina;Župa dubrovačka;Dubrovačko-neretvanska županija;793
Brašljevica;Ozalj;Karlovačka županija;26
Brbinj;Sali;Zadarska županija;70
Brcković Draga;Generalski Stol;Karlovačka županija;26
Brckovljani;Brckovljani;Zagrebačka županija;1368
Brdce;Matulji;Primorsko-goranska županija;68
Brdo Cirkvensko;Sveti Ivan Žabno;Koprivničko-križevačka županija;127
Brdo Jesenjsko;Jesenje;Krapinsko-zagorska županija;138
Brdo Orehovečko;Sveti Petar Orehovec;Koprivničko-križevačka županija;42
Brdo Utinjsko;Vojnić;Karlovačka županija;41
Brdo – Berda;Buje – Buie;Istarska županija;13
Brdovec;Brdovec;Zagrebačka županija;2848
Brebernica;;Grad Zagreb;44
Brebornica;Krnjak;Karlovačka županija;36
Brebrovac;Jastrebarsko;Zagrebačka županija;70
Breg;Labin;Istarska županija;46
Breg Mokrički;Sveti Ivan Zelina;Zagrebačka županija;46
Bregana;Samobor;Zagrebačka županija;2198
Bregana Pisarovinska;Pisarovina;Zagrebačka županija;216
Breganica;Samobor;Zagrebačka županija;59
Bregi;Matulji;Primorsko-goranska županija;682
Bregi Kostelski;Pregrada;Krapinsko-zagorska županija;224
Bregi Radobojski;Radoboj;Krapinsko-zagorska županija;357
Bregi Zabočki Donji;Zabok;Krapinsko-zagorska županija;81
Bregovljana;Pušća;Zagrebačka županija;139
Brekinska;Lipik;Požeško-slavonska županija;107
Brela;Brela;Splitsko-dalmatinska županija;1472
Bresnica;Pleternica;Požeško-slavonska županija;175
Brest;Lanišće;Istarska županija;31
Brest Pod Učkom;Lupoglav;Istarska županija;47
Brest Pokupski;Petrinja;Sisačko-moslavačka županija;292
Brestača;Novska;Sisačko-moslavačka županija;809
Brestik;Glina;Sisačko-moslavačka županija;43
Brestova Draga;Mrkopalj;Primorsko-goranska županija;47
Brestovac;Brestovac;Požeško-slavonska županija;597
Brestovačka Brda;Končanica;Bjelovarsko-bilogorska županija;22
Brestovec Orehovički;Bedekovčina;Krapinsko-zagorska županija;305
Breza;Bjelovar;Bjelovarsko-bilogorska županija;135
Breza;Klana;Primorsko-goranska županija;53
Brezakovec;Zagorska Sela;Krapinsko-zagorska županija;66
Brezani;Rakovec;Zagrebačka županija;117
Brezari;Jastrebarsko;Zagrebačka županija;64
Brezarić;Krašić;Zagrebačka županija;242
Breze;Novi Vinodolski;Primorsko-goranska županija;14
Brezik;Gospić;Ličko-senjska županija;18
Brezik;Lukač;Virovitičko-podravska županija;186
Brezik;Nova Bukovica;Virovitičko-podravska županija;124
Brezik Našički;Našice;Osječko-baranjska županija;336
Brezine;Farkaševac;Zagrebačka županija;136
Brezine;Lipik;Požeško-slavonska županija;184
Brezje;Dubrava;Zagrebačka županija;94
Brezje;Gornja Stubica;Krapinsko-zagorska županija;229
Brezje;Sveta Nedelja;Zagrebačka županija;1468
Brezje;Sveti Juraj na Bregu;Međimurska županija;678
Brezje Dobransko;Skrad;Primorsko-goranska županija;2
Brezje Dravsko;Cestica;Varaždinska županija;203
Brezje Miholečko;Sveti Petar Orehovec;Koprivničko-križevačka županija;136
Brezje Vivodinsko;Ozalj;Karlovačka županija;6
Breznica;Breznica;Varaždinska županija;749
Breznica Našička;Koška;Osječko-baranjska županija;522
Breznica Đakovačka;Levanjska Varoš;Osječko-baranjska županija;175
Breznik;Ozalj;Karlovačka županija;5
Breznik Plešivički;Jastrebarsko;Zagrebačka županija;124
Breznik Žakanjski;Žakanje;Karlovačka županija;10
Breznički Hum;Breznički Hum;Varaždinska županija;410
Brezno Gora;Hum na Sutli;Krapinsko-zagorska županija;61
Brezova;Sveti Križ Začretje;Krapinsko-zagorska županija;300
Brezova Glava;Karlovac;Karlovačka županija;142
Brezova Gora;Bednja;Varaždinska županija;56
Brezovac;Bjelovar;Bjelovarsko-bilogorska županija;994
Brezovac;Novska;Sisačko-moslavačka županija;2
Brezovac;Rakovica;Karlovačka županija;8
Brezovac Dobroselski;Donji Lapac;Ličko-senjska županija;5
Brezovac Žumberački;Samobor;Zagrebačka županija;21
Brezovec;Sveti Martin na Muri;Međimurska županija;174
Brezovec Zelinski;Sveti Ivan Zelina;Zagrebačka županija;172
Brezovica;;Grad Zagreb;642
Brezovica;Gradina;Virovitičko-podravska županija;471
Brezovica;Marijanci;Osječko-baranjska županija;36
Brezovica Petrovska;Petrovsko;Krapinsko-zagorska županija;88
Brezovica Žumberačka;Ozalj;Karlovačka županija;17
Brezovljani;Sveti Ivan Žabno;Koprivničko-križevačka županija;274
Brezovljani Vojlovički;Čačinci;Virovitičko-podravska županija;29
Brezovo Polje;Glina;Sisačko-moslavačka županija;18
Brečevići;Tinjan;Istarska županija;182
Brečići;Pojezerje;Dubrovačko-neretvanska županija;0
Brešca;Matulji;Primorsko-goranska županija;171
Breštani;Udbina;Ličko-senjska županija;13
Breštanovci;Crnac;Virovitičko-podravska županija;99
Brežane Lekeničke;Lekenik;Sisačko-moslavačka županija;260
Brežani;Karlovac;Karlovačka županija;107
Brežani;Sveti Petar Orehovec;Koprivničko-križevačka županija;16
Brgod;Raša;Istarska županija;174
Brgud;Benkovac;Zadarska županija;21
Brgudac;Lanišće;Istarska županija;15
Brgulje;Zadar;Zadarska županija;63
Bribir;Skradin;Šibensko-kninska županija;89
Bribir;Vinodolska općina;Primorsko-goranska županija;1480
Brig;Vižinada – Visinada;Istarska županija;109
Brihovo;Žakanje;Karlovačka županija;150
Brijest;Osijek;Osječko-baranjska županija;1005
Brijesta;Ston;Dubrovačko-neretvanska županija;165
Briješće;Osijek;Osječko-baranjska županija;1153
Brinjani;Kutina;Sisačko-moslavačka županija;203
